latitude,longitude,value
45.806357,-108.426551,7.4
42.120248,-72.58499,3.5
19.611915,-155.055038,1
46.66186,-123.7916,1.4
48.9477,-122.1471,27
35.338407,-106.524292,4.1
42.082222,-111.864167,6
35.502968,-97.577674,15.9
48.115,-123.436434,9.7
48.54469,-117.903222,20.1
33.565278,-86.796389,7.8
47.22634,-122.46256,14
27.779712,-82.419835,8.2
45.426509,-73.928944,5.2
47.600863,-122.148397,2
41.594427,-87.495044,13.6
45.735931,-121.488398,8.8
47.2875,-122.2144,5.4
38.8763,-107.6022,8.4
40.6281,-75.3411,15.2
29.7681,-95.2206,24.7
30.2633,-97.7131,15.7
43.0611,-87.9125,10.8
43.4981,-87.81,10.1
32.1731,-110.9797,4.7
34.615299,-80.198898,7.1
35.041401,-78.953102,7.7
41.823101,-90.211899,19.6
29.9219,-93.9139,17.2
26.2992,-81.72,4.3
33.1944,-97.1933,10.2
31.7467,-106.402802,22
26.226226,-98.29107,8
27.8042,-97.4314,9
47.4902,-121.772697,1.4
29.5831,-95.0156,15.6
30.3503,-95.425,11.4
43.4356,-89.6803,1.8
47.43061,-120.34195,7.9
46.491941,-81.003105,7.9
38.631057,-90.281144,12.3
44.046683,-123.017736,9.4
36.9533,-120.0341,10.9
36.0319,-119.055,5.9
44.9653,-93.2551,6.8
28.958372,-82.643094,13.4
41.4409,-81.4949,19.7
48.152822,-103.639583,7.3
41.829495,-71.417457,10.3
44.5514,-70.5463,11.7
44.706123,-93.285803,6.1
47.17563,-113.476182,31.6
47.494318,-111.303317,8
48.363694,-114.189272,11.4
44.657014,-111.089618,1.5
39.808334,-120.471664,41.2
39.818715,-75.413973,4.9
36.922222,-94.83889,15.2
20.537683,-100.83994,15
38.897611,-119.732101,2.8
26.054047,-80.257608,2.9
42.990263,-82.395341,9
32.789561,-116.944222,11.9
33.5853,-101.78698,10.8
42.261669,-83.157893,13.1
45.3235,-118.0778,8
41.23172,-80.80116,17.4
42.702223,-73.110414,4.1
33.750833,-90.734167,6.2
42.33155,-122.880266,9.7
39.917663,-79.805499,12.3
41.08536,-104.52277,4.2
33.925,-83.3575,6.2
36.270592,-115.238282,5.9
46.2183,-119.2015,10.5
47.755001,-122.280602,6.1
47.2656,-122.3858,10
47.505,-52.7947,6.6
36.3833,-105.5833,5.6
37.3483,-121.8947,12.9
42.6725,-81.1647,14
45.3378,-80.0378,1.8
35.1514,-80.8669,6.6
40.323898,-79.868301,39.1
53.6989,-113.2233,9.7
52.2989,-113.7942,4.9
42.263901,-71.794701,10.2
34.51,-117.3306,7.8
47.2986,-101.7669,19.1
46.1394,-122.9619,4.8
46.728199,-116.954597,2.8
42.7708,-71.1028,6.5
32.7267,-103.1233,8.7
45.4702,-122.8159,3.1
44.5167,-87.9939,10.4
45.528501,-122.972398,4.3
35.6567,-88.8092,8.1
36.5408,-82.5217,8.7
38.4592,-82.6339,9
49.15611,-121.94056,3
49.04278,-122.30972,3
41.492802,-112.0187,5.5
35.0186,-106.651901,9.3
46.9772,-123.8317,3.2
49.4417,-123.4917,2.8
50.1439,-122.9611,2
34.256901,-97.474197,8.8
40.4147,-104.7061,4.9
47.127998,-118.381897,4
47.2313,-117.3685,5.7
35.73,-81.37,NA
30.1358,-81.6339,17
56.7522,-111.4761,2.7
53.5453,-113.4992,4.3
47.536712,-116.236867,21.3
35.6075,-82.5833,NA
48.3645,-120.1211,7.7
46.9936,-120.545,13.6
33.215,-92.6689,11
49.9489,-97.3964,12.7
49.8422,-99.9189,7.1
35.7683,-83.9422,6.3
26.0733,-97.1667,7.8
40.6978,-89.5889,9
53.5028,-113.6111,6.1
38.79471,-83.533988,1.2
46.243621,-114.158889,10.4
35.494556,-120.666203,3.1
32.346905,-90.225928,5.4
39.785622,-104.988469,13.5
42.68,-114.2525,2.7
36.139707,-115.175654,10.6
47.808226,-117.34327,12.6
39.828387,-104.938463,14.1
37.864767,-122.302741,20.5
45.593325,-73.637328,8.2
45.512189,-73.566872,10.9
37.067003,-122.057206,2.4
35.65188,-87.0096,14.6
47.24126,-119.84595,4.3
36.918242,-95.632127,20.7
38.1825,-85.5744,11.4
38.278849,-122.275024,10.2
42.312158,-83.091943,13.1
46.474438,-117.614764,4.2
43.48256,-110.745261,0.3
47.342589,-102.645997,12.2
43.6619,-79.3853,18.4
44.2994,-81.5753,2.9
34.5286,-86.9706,7.1
33.5694,-112.1915,5.9
32.7917,-115.5617,16
37.645718,-118.966515,25.8
33.830586,-117.938509,18.1
33.676535,-117.331027,9.3
38.494475,-121.211131,5
36.843425,-121.3621,3.6
37.7658,-122.3978,17.1
35.02079,-120.56389,5
34.445301,-119.827797,7
40.4531,-122.2978,19.4
37.4883,-120.8358,27.1
43.256100000000004,-79.8617,16.4
43.4419,-80.5044,6.6
39.1003,-120.9528,2
38.302591,-121.420838,13
38.683304,-121.164457,2
32.842297,-116.768326,2.7
37.9508,-121.2675,19.6
36.98332,-121.98822,7.9
39.1389,-121.6175,9.5
36.3322,-119.2903,10.8
34.2653,-119.1336,14.7
38.6619,-121.7278,9.2
35.889402,-78.8747,9.5
39.063599,-108.561096,14.2
34.9789,-85.3009,7.9
46.380199,-120.332603,20.4
30.4264,-82.7947,10.2
40.3833,-75.9686,9.8
36.5144,-87.3278,NA
35.638599,-77.358002,6.5
21.323601,-158.088593,0
39.531799,-107.782303,8
39.9369,-120.9478,7.6
35.7197,-84.3417,7.7
53.6825,-112.8686,6.1
50.0492,-110.6814,0.6
46.2094,-116.027496,9.1
34.843899,-82.414597,5.1
44.6306,-121.131599,31
44.299787,-120.844773,21.2
48.291821,-116.556557,5.3
46.664089,-122.967323,6.4
39.5511,-75.7308,7.7
38.921848,-77.013176,5.6
32.5214,-84.9436,5.7
39.8669,-88.9256,21.7
43.123299,-94.693298,NA
38.0608,-85.8961,15
29.9933,-90.1014,3.4
39.565601,-77.721901,11.9
42.329399,-71.082497,9.4
42.24,-83.5997,13.2
34.820556,-89.987778,5.4
42.930521,-72.272332,6.6
39.2787,-84.36612,9.9
21.3039,-157.8711,4.5
37.2831,-83.2203,8.4
43.0289,-83.669403,19.2
42.984699,-85.671097,NA
47.9464,-91.4953,6.2
38.5425,-90.263611,9.7
35.1353,-106.584702,4.8
35.9889,-77.5867,11
35.5,-78.4375,NA
35.4356,-83.4436,10.3
41.644067,-83.54625,9.7
40.4656,-79.9611,18
42.1428,-80.0372,19.5
39.82,-80.2897,6.4
39.9653,-76.6994,7.2
41.615,-71.7197,5.4
29.275299,-98.311699,12.7
44.980598,-74.695297,5.3
42.5014,-92.315804,7.5
46.318,-117.985,10.3
39.159372,-86.504747,NA
33.996387,-117.4925,19.4
44.890197,-116.1065,14.4
49.36972,-121.49944,2.6
40.125557,-85.652222,10.8
48.432899,-123.492798,7.6
44.417999,-118.951302,8.9
42.1617,-123.64835,11.5
36.697189,-97.081278,20.4
37.04926,-86.21487,9.5
44.087397,-103.273777,11.6
49.021506,-122.326556,2.7
31.3492,-109.539683,5.2
54.0163,-124.006104,36.3
19.555445,-155.102036,0
31.337204,-110.936722,5.4
39.595001,-75.611,6.1
38.89,-121.3,7.7
40.2943,-110.009,4.3
44.89965,-97.128802,5.1
32.36253,-88.27792,7.6
42.325197,-71.056056,10.8
64.8458,-147.72727,4.4
